step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
9,CASH_OUT,266097.95,C2034963318,0,0,C1653844940,56315.74,799127.15,0,0
44,CASH_IN,9192.41,C1359626244,6368866.7,6378059.11,C295372946,1223723.37,1214530.96,0,0
41,CASH_OUT,176554.63,C1307045616,0,0,C1596218273,194854.63,180603.5,0,0
41,CASH_OUT,450345.92,C2033102651,418452.18,0,C1005478043,8507.78,458853.7,0,0
93,PAYMENT,37009.68,C1271426156,0,0,M860306334,0,0,0,0
20,CASH_OUT,174564.11,C404456977,216717.11,42153.01,C1371191175,9410751.68,9528640.82,0,0
41,PAYMENT,4277.56,C1261330013,198532.13,194254.57,M633873419,0,0,0,0
16,CASH_OUT,120516,C1921947928,124001.68,3485.68,C311147552,963124.46,1729523.99,0,0
11,CASH_OUT,332130.32,C1443363463,0,0,C350630421,3526698.94,5854053.06,0,0
19,CASH_IN,201610.76,C539301621,50949,252559.76,C299884411,66160,135993.61,0,0
19,CASH_OUT,177567.2,C911408988,0,0,C1424595534,29075147.74,28712310.56,0,0
19,CASH_IN,82615.01,C1278668749,3737009.33,3819624.34,C546537703,100048.81,17433.8,0,0
36,PAYMENT,6578.34,C996598870,9241.87,2663.53,M139714630,0,0,0,0
21,PAYMENT,22650.17,C1507457477,356987.6,334337.44,M1018274472,0,0,0,0
10,CASH_IN,272207.94,C1504968476,3291253.8,3563461.74,C1825122856,654892.52,0,0,0
43,CASH_OUT,77870.87,C1015735419,0,0,C2036724065,1047323.05,1125193.92,0,0
20,CASH_IN,63669.74,C1626418989,569,64238.74,C1551469643,0,0,0,0
39,TRANSFER,322613.73,C508598127,205771,0,C1971580897,0,322613.73,0,0
19,CASH_OUT,130517.28,C1715646196,0,0,C1654336229,1946165.6,2076682.88,0,0
43,CASH_OUT,185801.41,C438243254,0,0,C1205368027,591602.81,777404.22,0,0
41,CASH_OUT,207001.34,C541842203,11444,0,C1368733047,0,207001.34,0,0
17,PAYMENT,8900.77,C156470507,0,0,M429740892,0,0,0,0
14,CASH_IN,337115.3,C2020221362,2581184.26,2918299.56,C1231067678,341128.5,4013.2,0,0
33,PAYMENT,10597.75,C828115936,52887,42289.25,M2118291231,0,0,0,0
41,CASH_OUT,364922.16,C425292546,0,0,C1640134259,1702269.14,2067191.29,0,0
95,PAYMENT,14416.72,C25488734,10977,0,M1698078051,0,0,0,0
15,CASH_IN,135255.1,C1697631417,13504549.89,13639804.98,C1736205699,1046142.17,910887.07,0,0
20,TRANSFER,268178.53,C2068459951,128025.39,0,C599809322,370025.31,638203.84,0,0
11,PAYMENT,20705.11,C1402626301,10030,0,M781758640,0,0,0,0
17,CASH_IN,355798.99,C939125365,186088.66,541887.66,C1365134973,408.79,0,0,0
33,PAYMENT,2465.27,C1884003688,11941,9475.73,M117016190,0,0,0,0
43,CASH_OUT,61874.83,C1598551845,0,0,C595808742,310351.31,372226.13,0,0
38,PAYMENT,7691.75,C1919118182,0,0,M720539985,0,0,0,0
47,CASH_OUT,192669.55,C537867038,0,0,C1718415574,365373.82,558043.37,0,0
8,PAYMENT,2237.08,C2058251828,30392,28154.92,M1255131169,0,0,0,0
40,PAYMENT,1703.05,C845776157,39900,38196.95,M1847734249,0,0,0,0
38,PAYMENT,10509.38,C805867462,0,0,M2113720133,0,0,0,0
12,CASH_IN,150297.14,C1293250953,5307389.96,5457687.1,C1637373249,436341.59,286044.45,0,0
21,CASH_OUT,161560.12,C2078011948,126520.61,0,C1737021873,251949.65,413509.77,0,0
44,PAYMENT,24540.53,C1555920664,275361,250820.47,M531250994,0,0,0,0
35,CASH_OUT,515098.77,C1998655647,0,0,C1857935745,650647.61,1165746.37,0,0
12,CASH_OUT,562695.84,C1966357485,122564,0,C225323428,0,164578.94,0,0
20,PAYMENT,5155.39,C84596411,0,0,M290332556,0,0,0,0
16,CASH_OUT,202280.3,C29141025,20049,0,C1031948877,2683705.26,2885985.56,0,0
17,CASH_IN,299546.65,C1114977083,3303841.74,3603388.4,C111747605,1777572.89,1478026.24,0,0
41,CASH_IN,120127.03,C977301224,275,120402.03,C1715285413,1044173.88,924046.85,0,0
16,CASH_OUT,9104.77,C39358167,0,0,C2017796139,2590146.09,2599250.85,0,0
19,CASH_OUT,227181.14,C457461244,0,0,C1066519120,4181492.65,4408673.8,0,0
42,TRANSFER,1587494.15,C2132843772,107817.91,0,C1290322451,3638803.55,5226297.7,0,0
41,CASH_OUT,96210.26,C790188775,469,0,C1146896434,9620349.31,9716559.57,0,0
18,PAYMENT,10077.25,C1181234686,124370.72,114293.47,M1962128148,0,0,0,0
11,CASH_OUT,262610.83,C1861020659,248.33,0,C135718722,26969.2,151039.21,0,0
9,TRANSFER,1000275.45,C1513688502,0,0,C993884064,1066963.35,2064290,0,0
45,PAYMENT,19421.74,C1317228408,0,0,M1744855447,0,0,0,0
36,CASH_OUT,153603.78,C1159875724,288382.1,134778.33,C784720009,2307461.65,2734842.67,0,0
44,CASH_OUT,80696.68,C691116878,0,0,C1710399690,1187916.73,1268613.41,0,0
16,CASH_OUT,43398.38,C1454333022,0,0,C613801234,1022283.81,1211619.4,0,0
12,CASH_IN,430842.72,C372032216,37336.2,468178.93,C1029125570,4345970.06,4742660.29,0,0
15,PAYMENT,9646.18,C1651778384,0,0,M2137215301,0,0,0,0
17,CASH_IN,190984.97,C1701175167,4744040.69,4935025.66,C735994254,702947.7,837830.42,0,0
13,PAYMENT,5072.21,C583827244,0,0,M1184696395,0,0,0,0
15,PAYMENT,13596.09,C611684974,26339.08,12742.99,M2123902030,0,0,0,0
37,TRANSFER,281185.39,C1717605392,92575,0,C285714859,62879.28,344064.67,0,0
39,PAYMENT,24913.03,C276438254,0,0,M1369234283,0,0,0,0
40,PAYMENT,2679.39,C1349822912,0,0,M419683037,0,0,0,0
17,TRANSFER,1079258.34,C1051600495,5059,0,C797309080,63909.58,0,0,0
45,CASH_OUT,15938.28,C796967526,0,0,C1266224894,30897,43734.85,0,0
40,CASH_IN,522509,C1367615340,11401,533910,C120786962,13949.1,0,0,0
9,TRANSFER,8825.19,C719063709,0,0,C660042490,27008,35833.19,0,0
12,TRANSFER,1009059.19,C1072123992,38523,0,C1175199409,1632576.92,2452859.26,0,0
11,PAYMENT,22012.93,C1385726842,0,0,M1830683628,0,0,0,0
37,CASH_OUT,98393.81,C1049200070,335953.44,237559.63,C1762631407,654451.16,752844.97,0,0
14,PAYMENT,13500.24,C621747194,0,0,M748096250,0,0,0,0
15,CASH_IN,198117.12,C1353793059,21439335.49,21637452.61,C1062487621,580073.61,381956.49,0,0
18,TRANSFER,65839.03,C549166709,0,0,C1285965165,171775.28,237614.31,0,0
14,PAYMENT,8744.15,C1521294897,154312.83,145568.67,M1700057885,0,0,0,0
22,TRANSFER,1035927.59,C1912019482,0,0,C967218202,3450251.32,4486178.91,0,0
15,CASH_OUT,464410.62,C1125252921,1203,0,C908436958,0,242743.42,0,0
36,PAYMENT,33426.55,C1034936673,78652.76,45226.2,M512325997,0,0,0,0
9,TRANSFER,1213232.69,C797843629,70371,0,C439326713,99746,737827.78,0,0
11,CASH_IN,141997.47,C1426613655,1936985.8,2078983.27,C1370787297,831541.1,1824363.6,0,0
13,PAYMENT,14426.66,C1758738391,0,0,M1982580061,0,0,0,0
42,CASH_IN,3288.42,C1031498624,7683544.46,7686832.88,C839925868,42888.12,156768.54,0,0
36,CASH_OUT,202669.85,C1924662215,1548,0,C957705094,2726867.6,2929537.45,0,0
18,CASH_OUT,75252.31,C412752283,187044,111791.69,C643065261,458756.28,1084526.66,0,0
35,CASH_OUT,16669.21,C724160426,0,0,C1508964961,4899086.07,4915755.28,0,0
35,PAYMENT,2454.22,C728975694,0,0,M55831196,0,0,0,0
44,TRANSFER,283893.67,C1974319036,0,0,C2106408365,493606.32,777500,0,0
11,PAYMENT,11482.14,C18000641,59459,47976.86,M854111414,0,0,0,0
14,CASH_OUT,306590.04,C1893737652,19279.54,0,C917188493,2893320.25,2988917.72,0,0
9,CASH_OUT,18065.5,C1099959945,54516,36450.5,C2119285300,0,0,0,0
13,TRANSFER,1644085.53,C206544598,1109,0,C1370269326,755625.55,4834687.54,0,0
19,CASH_IN,91412.78,C1908192483,3220598.06,3312010.85,C1527887560,744954.98,653542.19,0,0
14,CASH_OUT,33849.73,C845599214,66348,32498.27,C4117397,0,33849.73,0,0
8,TRANSFER,428323.71,C1636356584,2156,0,C459857341,189998.46,542963.38,0,0
13,CASH_IN,6174.65,C282608258,1198766.26,1204940.91,C938866508,105603,0,0,0
33,PAYMENT,265.37,C2020655678,213494.88,213229.51,M1410429495,0,0,0,0
42,TRANSFER,322855.26,C518976508,0,0,C2072591095,548353.88,1022727.33,0,0
37,CASH_OUT,85724.03,C1849028489,112308,26583.97,C362995301,210623.7,289006.53,0,0
14,CASH_IN,313493.65,C1159219536,5552706.23,5866199.88,C2081595126,1588980.74,1275487.09,0,0
15,CASH_OUT,371305.3,C1241521295,0,0,C1845532635,1381361.54,1752666.84,0,0
14,CASH_OUT,292545.01,C1778254455,0,0,C610773016,294901.52,1028789.32,0,0
42,CASH_OUT,340896.79,C1475424666,0,0,C1105899650,1029814.59,1370711.38,0,0
18,PAYMENT,14600.89,C880549168,1714,0,M1996933871,0,0,0,0
18,PAYMENT,6744.87,C1225216631,229330,222585.13,M438007866,0,0,0,0
37,CASH_IN,163566.76,C893868654,58378,221944.76,C1694636980,4810775.91,4647209.15,0,0
13,CASH_IN,274100.99,C574083142,2331677.7,2605778.68,C1240191830,387467.54,113366.55,0,0
18,CASH_OUT,133751.94,C1835719748,0,0,C1118662816,1090749.1,1224501.04,0,0
17,CASH_OUT,48762.54,C1951717047,31091,0,C2037382639,0,48762.54,0,0
18,PAYMENT,17552.75,C893968710,100329,82776.25,M96631167,0,0,0,0
